Timestamp, FixationPointX, FixationPointY, FixationPointZ,LeftGazeX, LeftGazeY, LeftGazeZ, RightGazeX, RightGazeY, RightGazeZ,LeftGazeOriginX, LeftGazeOriginY, LeftGazeOriginZ, RightGazeOriginX, RightGazeOriginY, RightGazeOriginZ,LeftPupilDiameter, RightPupilDiameter, LeftEyeOpenness, RightEyeOpenness
2023-09-18 11:54:19.618, -0.04190826, -0.5297623, 0.8434906,-0.1197815, -0.5317993, 0.8383484, 0.03596497, -0.5277252, 0.8486328,30.50752, -1.011307, -23.07002, -27.58481, 1.107895, -22.0184,3.929688, 3.945862, 0, 0
2023-09-18 11:54:19.716, -0.002433777, -0.499855, 0.8626328,-0.07972717, -0.4975433, 0.8637543, 0.07485962, -0.5021667, 0.8615112,30.7523, -0.9570923, -23.01897, -27.60031, 1.290527, -21.93834,4.146194, 4.015717, 0, 0
2023-09-18 11:54:21.583, 0, 0, 0,0, 0, 0, 0, 0, 0,32.08951, 0.4226379, -23.15031, -27.63774, 2.2453, -21.12245,-1, -1, 1, 1
2023-09-18 11:54:21.623, 0, 0, 0,0, 0, 0, 0, 0, 0,32.08951, 0.4226379, -23.15031, -26.87579, 0.8519897, -20.72719,-1, -1, 0, 0.4356161
2023-09-18 11:54:21.639, 0, 0, 0,0, 0, 0, 0, 0, 0,32.08951, 0.4226379, -23.15031, -26.87579, 0.8519897, -20.72719,-1, -1, 0, 0.4856974
2023-09-18 11:54:21.648, 0, 0, 0,0, 0, 0, 0, 0, 0,32.08951, 0.4226379, -23.15031, -26.87579, 0.8519897, -20.72719,-1, -1, 0, 0.4856974
2023-09-18 11:54:21.658, 0, 0, 0,0, 0, 0, 0, 0, 0,32.08951, 0.4226379, -23.15031, -26.46014, 2.70253, -20.21564,-1, -1, 1, 1
2023-09-18 11:54:21.667, 0, 0, 0,0, 0, 0, 0, 0, 0,32.8911, 0.7341461, -23.2491, -25.22421, 4.644836, -20.08325,-1, -1, 1, 1
2023-09-18 11:54:21.678, 0, 0, 0,0, 0, 0, 0, 0, 0,33.5367, 2.099289, -23.15222, -25.24608, 4.687027, -20.49477,-1, -1, 1, 1
2023-09-18 11:54:21.688, 0, 0, 0,0, 0, 0, 0, 0, 0,33.56349, 2.110107, -23.5576, -25.19705, 4.562881, -20.46971,-1, -1, 1, 1
2023-09-18 11:54:21.845, 0.2929688, -0.09642029, 0.9271317,0.3328094, 0.1123962, 0.936264, 0.2531281, -0.3052368, 0.9179993,33.11, -0.5312042, -23.78642, -25.46924, 2.711014, -20.31918,4.067001, 3.875931, 1, 1
2023-09-18 11:54:21.863, 0.2891006, -0.2632217, 0.918602,0.3296814, -0.2228851, 0.9173889, 0.2485199, -0.3035583, 0.9198151,32.89793, 0.4198608, -23.43948, -25.6869, 2.034775, -20.43472,3.859756, 3.754242, 1, 1
2023-09-18 11:54:21.874, 0.297226, -0.2654419, 0.9159317,0.3270264, -0.2286224, 0.9169312, 0.2674255, -0.3022614, 0.9149323,32.55211, 0.199585, -23.41071, -26.11024, 1.624344, -20.51501,3.818146, 3.907837, 1, 1
2023-09-18 11:54:21.885, 0.2955017, -0.2592773, 0.9187851,0.3106537, -0.2275543, 0.9228668, 0.2803497, -0.2910004, 0.9147034,32.36015, 0.136734, -23.37683, -26.36601, 1.461807, -20.54977,3.764435, 3.90213, 1, 1
2023-09-18 11:54:21.896, 0.3040695, -0.2635117, 0.9148788,0.3246002, -0.2381592, 0.9153595, 0.2835388, -0.2888641, 0.9143982,32.14844, 0.09877014, -23.36362, -26.59512, 1.308746, -20.59018,3.86647, 3.903992, 1, 1
2023-09-18 11:54:21.906, 0.3024826, -0.2655106, 0.9148026,0.3184509, -0.2362061, 0.9180298, 0.2865143, -0.2948151, 0.9115753,31.93872, 0.07363892, -23.33333, -26.81921, 1.146805, -20.6331,3.766891, 3.888046, 1, 1
2023-09-18 11:54:21.916, 0.2904739, -0.1813965, 0.9305954,0.2786255, -0.0559082, 0.9587555, 0.3023224, -0.3068848, 0.9024353,31.52243, -1.239655, -23.53392, -27.10239, 0.8729401, -20.71904,3.234909, 3.81694, 1, 1
2023-09-18 11:54:21.926, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.7137, 0.9625092, -20.68729,-1, -1, 1, 1
2023-09-18 11:54:21.936, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.99266, 0.01725769, -21.1813,-1, -1, 1, 1
2023-09-18 11:54:21.947, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.99266, 0.01725769, -21.1813,-1, -1, 0.4990411, 0.7790155
2023-09-18 11:54:21.956, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.99266, 0.01725769, -21.1813,-1, -1, 0.4990411, 0.7790155
2023-09-18 11:54:21.978, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.99266, 0.01725769, -21.1813,-1, -1, 0.4990411, 0.7790155
2023-09-18 11:54:21.989, 0, 0, 0,0, 0, 0, 0, 0, 0,31.38432, -1.132996, -23.51018, -26.99266, 0.01725769, -21.1813,-1, -1, 0.2453913, 0.1795518
2023-09-18 11:54:22.000, 0, 0, 0,0, 0, 0, 0, 0, 0,30.0099, -2.383438, -24.03758, -26.99266, 0.01725769, -21.1813,-1, -1, 0.4238527, 0.5654664
2023-09-18 11:54:22.013, 0, 0, 0,0, 0, 0, 0, 0, 0,29.54347, -2.322601, -24.13712, -26.99266, 0.01725769, -21.1813,-1, -1, 1, 1
2023-09-18 11:54:22.023, 0, 0, 0,0, 0, 0, 0, 0, 0,29.54347, -2.322601, -24.13712, -26.99266, 0.01725769, -21.1813,-1, -1, 1, 1
2023-09-18 11:54:22.034, 0, 0, 0,0, 0, 0, 0, 0, 0,29.02858, -1.039032, -23.73392, -31.88811, -5.436707, -24.7336,-1, -1, 1, 1
2023-09-18 11:54:22.045, 0, 0, 0,0, 0, 0, 0, 0, 0,26.5076, -2.523804, -24.21704, -31.88811, -5.436707, -24.7336,-1, -1, 1, 1
2023-09-18 11:54:22.064, 0, 0, 0,0, 0, 0, 0, 0, 0,26.5076, -2.523804, -24.21704, -32.90579, -6.132401, -26.21753,-1, -1, 1, 1
